start_time,end_time,weight_gt
9/10/2023 0:00:00,9/11/2023 0:00:00,36
9/11/2023 0:00:00,9/12/2023 0:00:00,36
9/12/2023 0:00:00,9/13/2023 0:00:00,36
9/13/2023 0:00:00,9/14/2023 0:00:00,36
9/14/2023 0:00:00,9/15/2023 0:00:00,36
9/15/2023 0:00:00,9/16/2023 0:00:00,36
9/16/2023 0:00:00,9/17/2023 0:00:00,36
9/17/2023 0:00:00,9/18/2023 0:00:00,36
9/18/2023 0:00:00,9/19/2023 0:00:00,36
9/19/2023 0:00:00,9/20/2023 0:00:00,36
9/20/2023 0:00:00,9/21/2023 0:00:00,36
9/21/2023 0:00:00,9/22/2023 0:00:00,36
9/22/2023 0:00:00,9/23/2023 0:00:00,36
9/23/2023 0:00:00,9/24/2023 0:00:00,36
9/24/2023 0:00:00,9/25/2023 0:00:00,36
9/25/2023 0:00:00,9/26/2023 0:00:00,36
9/26/2023 0:00:00,9/27/2023 0:00:00,36
9/27/2023 0:00:00,9/28/2023 0:00:00,36
9/28/2023 0:00:00,9/29/2023 0:00:00,36
9/29/2023 0:00:00,9/30/2023 0:00:00,36
9/30/2023 0:00:00,10/1/2023 0:00:00,36
10/1/2023 0:00:00,10/2/2023 0:00:00,36
10/2/2023 0:00:00,10/3/2023 0:00:00,36
10/3/2023 0:00:00,10/4/2023 0:00:00,36
10/4/2023 0:00:00,10/5/2023 0:00:00,36
10/5/2023 0:00:00,10/6/2023 0:00:00,36
10/6/2023 0:00:00,10/7/2023 0:00:00,36
10/7/2023 0:00:00,10/8/2023 0:00:00,36
10/8/2023 0:00:00,10/9/2023 0:00:00,36
10/9/2023 0:00:00,10/10/2023 0:00:00,36
10/10/2023 0:00:00,10/11/2023 0:00:00,36
10/11/2023 0:00:00,10/12/2023 0:00:00,36
10/12/2023 0:00:00,10/13/2023 0:00:00,36
10/13/2023 0:00:00,10/14/2023 0:00:00,36
10/14/2023 0:00:00,10/15/2023 0:00:00,36
10/15/2023 0:00:00,10/16/2023 0:00:00,36
10/16/2023 0:00:00,10/17/2023 0:00:00,36
10/17/2023 0:00:00,10/18/2023 0:00:00,28
10/18/2023 0:00:00,10/19/2023 0:00:00,28
10/19/2023 0:00:00,10/20/2023 0:00:00,28
10/20/2023 0:00:00,10/21/2023 0:00:00,28
10/21/2023 0:00:00,10/22/2023 0:00:00,28
10/22/2023 0:00:00,10/23/2023 0:00:00,28
10/23/2023 0:00:00,10/24/2023 0:00:00,28
10/24/2023 0:00:00,10/25/2023 0:00:00,28
10/25/2023 0:00:00,10/26/2023 0:00:00,28
10/26/2023 0:00:00,10/27/2023 0:00:00,28
10/27/2023 0:00:00,10/28/2023 0:00:00,28
10/28/2023 0:00:00,10/29/2023 0:00:00,28
10/29/2023 0:00:00,10/30/2023 0:00:00,28
10/30/2023 0:00:00,10/31/2023 0:00:00,28
10/31/2023 0:00:00,11/1/2023 0:00:00,36
11/1/2023 0:00:00,11/2/2023 0:00:00,36
11/2/2023 0:00:00,11/3/2023 0:00:00,28
11/3/2023 0:00:00,11/4/2023 0:00:00,28
11/4/2023 0:00:00,11/5/2023 0:00:00,28
11/5/2023 0:00:00,11/6/2023 0:00:00,28
11/6/2023 0:00:00,11/7/2023 0:00:00,28
11/7/2023 0:00:00,11/8/2023 0:00:00,28
11/8/2023 0:00:00,11/9/2023 0:00:00,28
11/9/2023 0:00:00,11/10/2023 0:00:00,28
11/10/2023 0:00:00,11/11/2023 0:00:00,28
11/11/2023 0:00:00,11/12/2023 0:00:00,28
11/12/2023 0:00:00,11/13/2023 0:00:00,28
11/13/2023 0:00:00,11/14/2023 0:00:00,28
11/14/2023 0:00:00,11/15/2023 0:00:00,28
11/15/2023 0:00:00,11/16/2023 0:00:00,28
11/16/2023 0:00:00,11/17/2023 0:00:00,28
11/17/2023 0:00:00,11/18/2023 0:00:00,28
11/18/2023 0:00:00,11/19/2023 0:00:00,28
11/19/2023 0:00:00,11/20/2023 0:00:00,28
11/20/2023 0:00:00,11/21/2023 0:00:00,28
11/21/2023 0:00:00,11/22/2023 0:00:00,28
